session_id,target_item_id,target_rank,session_length,item_train_count,item_is_head,hit_at_k
9,2294,-1,49,195.0,1,False
23,707,-1,49,70.0,0,False
34,1923,-1,12,417.0,1,False
35,1371,-1,10,229.0,1,False
63,2959,-1,49,539.0,1,False
64,1345,-1,49,177.0,1,False
65,2746,-1,49,270.0,1,False
67,3088,-1,49,90.0,0,False
79,296,-1,49,726.0,1,False
81,2817,-1,49,41.0,0,False
91,553,-1,49,194.0,1,False
92,2012,-1,49,387.0,1,False
93,442,-1,34,188.0,1,False
94,355,-1,49,106.0,0,False
95,1994,-1,25,242.0,1,False
96,1310,-1,49,16.0,0,False
97,494,-1,49,114.0,0,False
98,2311,-1,10,142.0,1,False
111,1242,-1,49,312.0,1,False
124,3005,-1,26,239.0,1,False
158,260,3,49,927.0,1,True
162,2162,-1,49,52.0,0,False
164,3510,-1,19,358.0,1,False
165,3826,-1,9,158.0,1,False
166,3317,-1,8,213.0,1,False
172,480,5,49,891.0,1,True
173,1215,-1,1,226.0,1,False
181,920,-1,43,372.0,1,False
193,1103,-1,49,112.0,0,False
194,3334,-1,1,143.0,1,False
196,2858,1,13,1217.0,1,True
197,3578,-1,4,750.0,1,False
198,1225,-1,5,415.0,1,False
199,223,-1,44,457.0,1,False
200,2762,2,36,976.0,1,True
209,1556,-1,49,116.0,0,False
216,317,-1,49,203.0,1,False
217,1028,-1,29,339.0,1,False
225,2701,-1,35,360.0,1,False
226,788,-1,17,329.0,1,False
227,3646,-1,10,80.0,0,False
228,2422,-1,20,95.0,0,False
231,539,-1,25,325.0,1,False
232,1957,-1,49,183.0,1,False
243,2917,-1,49,141.0,1,False
244,996,-1,49,64.0,0,False
245,3100,-1,49,192.0,1,False
246,1835,-1,1,127.0,0,False
247,3497,-1,49,20.0,0,False
248,1258,-1,6,372.0,1,False
249,292,-1,11,215.0,1,False
250,3157,-1,49,203.0,1,False
251,3274,-1,6,107.0,0,False
252,1352,-1,7,31.0,0,False
266,2657,-1,21,400.0,1,False
269,1682,-1,49,307.0,1,False
270,2762,2,9,976.0,1,True
271,1407,-1,49,288.0,1,False
272,3252,-1,1,183.0,1,False
273,1366,-1,12,38.0,0,False
274,1441,-1,3,137.0,0,False
275,79,-1,6,45.0,0,False
276,1748,-1,1,259.0,1,False
277,117,-1,5,30.0,0,False
278,2571,-1,1,788.0,1,False
279,356,-1,2,740.0,1,False
280,2759,-1,2,146.0,1,False
291,2010,-1,49,115.0,0,False
292,435,-1,49,187.0,1,False
367,2041,-1,49,42.0,0,False
368,628,-1,49,143.0,1,False
369,3070,-1,23,151.0,1,False
370,3225,-1,4,58.0,0,False
371,3827,-1,8,192.0,1,False
372,45,-1,41,145.0,1,False
373,3006,-1,49,286.0,1,False
374,3901,-1,4,49.0,0,False
375,1500,-1,23,319.0,1,False
383,3683,-1,49,174.0,1,False
384,185,-1,6,196.0,1,False
385,1162,-1,2,26.0,0,False
386,1221,-1,22,508.0,1,False
387,2019,-1,1,159.0,1,False
389,3793,-1,35,562.0,1,False
393,1918,-1,42,199.0,1,False
394,3755,-1,45,403.0,1,False
395,552,-1,17,133.0,0,False
396,1274,-1,49,125.0,0,False
397,2974,-1,49,21.0,0,False
398,1489,-1,4,10.0,0,False
399,1126,-1,49,111.0,0,False
411,3755,-1,25,403.0,1,False
427,1204,-1,49,283.0,1,False
430,1086,-1,8,126.0,0,False
431,1221,-1,12,508.0,1,False
432,3788,-1,18,91.0,0,False
433,431,-1,49,96.0,0,False
434,1204,-1,10,283.0,1,False
435,183,-1,49,8.0,0,False
436,2488,-1,21,23.0,0,False
437,3615,-1,6,130.0,0,False
438,3745,-1,16,218.0,1,False
439,1104,-1,20,142.0,1,False
440,3852,-1,29,93.0,0,False
441,2937,-1,23,30.0,0,False
442,1233,-1,25,266.0,1,False
443,1938,-1,46,32.0,0,False
444,1699,-1,7,47.0,0,False
445,2046,-1,40,141.0,1,False
446,2457,-1,49,63.0,0,False
447,456,-1,2,25.0,0,False
448,2028,-1,14,796.0,1,False
449,3192,-1,2,8.0,0,False
451,2003,-1,49,219.0,1,False
452,2952,-1,6,58.0,0,False
453,2725,-1,2,32.0,0,False
462,47,-1,49,417.0,1,False
477,1304,-1,6,433.0,1,False
478,2679,-1,49,,0,False
479,1907,-1,49,173.0,1,False
486,257,-1,49,44.0,0,False
487,508,-1,49,177.0,1,False
488,1739,-1,49,17.0,0,False
489,1399,-1,1,31.0,0,False
490,3633,-1,1,83.0,0,False
