feature,importance
cooc_score_last_item,32304.747378349304
item_global_count,9501.342862129211
item_global_rank,7660.3209500312805
session_length,7162.924531459808
user_total_interactions,4699.115349292755
user_mean_session_length,2562.269600868225
user_total_sessions,2053.1433963775635
genre_western,461.23982524871826
item_unique_users,457.8698778152466
genre_horror,416.91542530059814
genre_adventure,358.97370624542236
genre_sci_fi,343.3759307861328
genre_drama,330.6631679534912
genre_animation,293.78077459335327
genre_comedy,243.4128999710083
genre_thriller,203.82553005218506
genre_action,182.10489749908447
genre_war,155.3296995162964
genre_romance,150.7827968597412
genre_film_noir,110.51920127868652
genre_crime,103.40942192077637
genre_documentary,88.02432918548584
genre_mystery,86.11417818069458
genre_fantasy,69.58359956741333
genre_children's,41.633320331573486
genre_musical,16.492209911346436
user_is_dense,0.0
item_unique_sessions,0.0
item_is_head,0.0
